split,question,options,answer,task_type,events,check
Gene Function Experimental Observation,"The expression levels of Ehd1, Hd3a and RFT1 were less in YIL79 than those in Teqing under long-day conditions, but not under ________ conditions.",[],short-day,key_blank_fill,"Gene: LHD1
Role: LHD1 is a key gene controlling heading date in rice.
Expression Levels: No difference in the LHD1 expression levels could be detected between YIL79 and Teqing under both long-day and short-day conditions, suggesting that late flowering did not result from the LHD1 transcript.
Other Genes: Other heading date genes examined include OsGI, OsMADS50, OsMADS51, Hd1, Ehd1, Hd3a, RFT1.
Expression Levels of Other Genes: For OsGI, OsMADS50, OsMADS51, Hd1, no difference could be detected under long-day and short-day conditions between YIL79 and Teqing. The expression levels of Ehd1, Hd3a and RFT1 were less in YIL79 than those in Teqing under long-day conditions, but not under short-day conditions.
Inference: LHD1 may suppress the expressions of Ehd1, Hd3a and RFT1, which are floral transition activators.",bad
Gene Function Experimental Observation,What was the study objective in the given context?,"['To examine the effect of long day conditions on DTH8, Hd1 and Ghd7.', 'To examine the influence of Hd1 and Ghd7 on each other.', 'To examine the influence of DTH8 on Hd1 and Ghd7.', 'To examine whether the expression of DTH8 is influenced by Hd1 and Ghd7.']",D,key_single_choice,"Study Objective: To examine whether the expression of DTH8 is influenced by Hd1 and Ghd7.
Method: DTH8 expression was examined in Hd1 and Ghd7 near-isogenic lines (NILs) grown for 40 days under long day (LD) conditions.
Findings: 
- The expression levels of DTH8 and Ghd7 were not changed in NIL (hd1) grown under LD conditions.
- Ehd1 and Hd3a were suppressed by Hd1 in Nipponbare.
- No changes were found in the levels of DTH8 and Hd1 mRNA in the Ghd7 NILs under LD conditions.
- The expressions of Ehd1 and Hd3a were also suppressed by Ghd7.
- DTH8 suppresses rice flowering by down-regulating the expression of Ehd1 and Hd3a.
- The expression of DTH8, Hd1, or Ghd7 is independent of each other under LD conditions.
- Differences between DTH8 and Ghd7 were also very obvious.
- Tiller number in Ghd7 NILs with functional or nonfunctional alleles differed from each other.
- Ghd7 regulates the height through total cell number in the y axes of internodes and it also influences culm thickness.
- DTH8 regulates height by altering cell elongation in the internodes, but keeps culm thickness stable.",bad
Gene Basic Information Query,The EF8 gene was mapped to a 38 kb genomic region between markers ________ and ________ and co-segregated with ________.,[],"Fm45, Fm31, Fm40",key_blank_fill,"Plant Variety: early flowering 8 (ef8)
Origin: Selected from an ethyl methanesulfonate (EMS)-treated population of indica cultivar 93-11.
Characteristics: Shows earlier flowering, less grains per main panicle and slightly darker green leaves than the wildtype 93-11 under natural long-day conditions. No significant difference from 93-11 under natural short-day conditions.
Gene: Early Flowering 8 (EF8) gene isolated by map-based cloning.
Function: EF8 encodes a putative HAP3 subunit of the CCAAT-box-binding transcription factor, which is localized to the nucleus.
Location: The EF8 gene was mapped to a 38 kb genomic region between markers Fm45 and Fm31 and co-segregated with Fm40.
Mutation: In the ef8 mutant, the sixth ORF (Loc_Os08g07740) was changed, with a one base deletion at position 323 bp from the start codon. This caused a frame-shift and premature termination of translation. The ef8 mutation also included a 9 bp deletion and 6 bp insertion.",bad
Gene Function Experimental Observation,Which regulators were involved in the study?,"['Ehd1', 'OsMADS51', 'OsMADS50', 'Hd1']","D, A, B, C",key_multiple_choice,"Study Focus: Investigation of the alteration of expression patterns of the two 'florigen' genes by EF8.
Regulators Involved: Hd1, Ehd1, OsMADS51, OsMADS50 and OsGI.
Findings: 
- Under Long Days (LDs), no significant differences in the expression of any of these genes were detected between ef8 mutant and wild type.
- Under Short Days (SDs), the expression pattern of Ehd1 was slightly changed in ef8 mutant compared to wild type, but the expression patterns of other genes were not changed.
- EF8 delayed flowering through altering the rhythmic expression patterns of the 'florigen' genes Hd3a and RFT1 independently of Hd1 and Ehd1 under LDs.

Phenotype of ef8 mutant: Slightly darker green leaf and more chlorophyll content compared to wild type under LDs.
Chlorophyll Biogenesis: 
- Most of the genes encoding the enzymes in the chlorophyll biosynthetic pathway were up-regulated to different degrees except chlorophyll synthetase (CHLG) in ef8 mutant compared to wild type under LDs.
- For example, Mg-protoporphyrin IX methyltransferase (CHLM) and NADPH:protochlorophyllide oxidoreductase A (PORA) were up-regulated more than threefold, and Mg chelatase H subunit (CHLH) and divinyl reductase (DVR) about twofold.
- However, there were no significant differences in the transcription level of these genes under SDs.
- The higher chlorophyll content was due to higher expression levels of chlorophyll biosynthetic genes in the ef8 mutant compared to wild type and EF8 negatively regulated chlorophyll biogenesis under LDs.",bad
Gene Function Experimental Observation,What was indicated by the qRT-PCR analyses in the study?,[],"qRT-PCR analyses showed RFT1 was expressed in all three transgenic plants, indicating the early flowering phenotypes were due to its overexpression.",key_text_generation,"Study Subject: RFT1
Study Results: 
- Among 30 independently transformed calli, three regenerated leaves and plantlets but did not proceed to mature vegetative stages. 
- These three produced small panicles with only a few spikelets. 
- qRT-PCR analyses showed RFT1 was expressed in all three transgenic plants, indicating the early flowering phenotypes were due to its overexpression.
- Overexpression of RFT1 resulted in the direct formation of spikelets from most of the transgenic calli.
- Transcript analyses showed that expression of OsMADS14, OsMADS15, OsMADS18, and OsMADS34 in those calli was strongly induced during the reproductive phase.",bad
Gene Function Experimental Observation,What was the result of the transcript analyses in the study?,[],"Transcript analyses showed that expression of OsMADS14, OsMADS15, OsMADS18, and OsMADS34 in those calli was strongly induced during the reproductive phase.",key_text_generation,"Study Subject: RFT1
Study Results: 
- Among 30 independently transformed calli, three regenerated leaves and plantlets but did not proceed to mature vegetative stages. 
- These three produced small panicles with only a few spikelets. 
- qRT-PCR analyses showed RFT1 was expressed in all three transgenic plants, indicating the early flowering phenotypes were due to its overexpression.
- Overexpression of RFT1 resulted in the direct formation of spikelets from most of the transgenic calli.
- Transcript analyses showed that expression of OsMADS14, OsMADS15, OsMADS18, and OsMADS34 in those calli was strongly induced during the reproductive phase.",bad
Gene Basic Information Query,What are SNPs associated with in the given context?,"['OsSYL2', 'SYL', 'MSU ID LOC_Os02g50110', 'Os02g0733900']",B,key_single_choice,"SNPs association: SNPs are associated with SYL.
Significant peak: A significant peak appeared in chromosome 2.
Candidate genes: 33 candidate genes were detected in the candidate region of 30.45–30.65 Mb (200 kb).
Non-synonymous SNPs: 10 of the 33 genes contain non-synonymous SNPs.
Significant non-synonymous SNP: Only one non-synonymous SNP was significantly associated with SYL ( log10 P ≥ 5.5); it was located within the gene locus Os02g0733900 (MSU ID LOC_Os02g50110).
Gene Os02g0733900: Gene Os02g0733900 is referred to as OsSYL2. The full length of OsSYL2 is 602 bp, including one exon and no introns. Gene OsSYL2 encodes an 80-amino-acid protein.",bad
Gene Expression Pattern Query,The experiment conducted was ________.,[],qRT-PCR,key_blank_fill,"Experiment: qRT-PCR
Results: 
- The expression of OsSYL2AA was higher than that of OsSYL2CC in young panicles at differentiation stage 8.
- No significant differences in expression were found at stages 5, 6, and 7.
- The expression of OsSYL2AA in each of the three accessions with longer SYL was significantly higher than that of OsSYL2CC in each of the three accessions with shorter SYL.
Sample: Pistils at stage 8 from six accessions were used for further qRT-PCR analysis.",bad
Gene Basic Information Query,在研究中，预测的开放阅读框（ORF）编码的是哪个家族的蛋白？,"['MADS-box家族蛋白', 'T-box家族蛋白', 'P-box家族蛋白', 'G-box家族蛋白']",A,key_single_choice,"研究方法： 
- 初始映射GL10位点到标记M15和标记NP-11之间的区间，使用的是从NIL-GL10和NIL-gl10交叉得到的1200株植物。
- 在BC5F3世代中，将GL10映射到标记NC9和标记NC14之间的18.5 kb区域，该区域包含了总共4000株植物。

研究结果：
- 这个区域包含一个预测的开放阅读框（ORF），Os10g0536100，它编码一个MADS-box家族蛋白。",bad
Gene Function Prediction,OsSIZ2基因在哪个数据库中被记录？,"['RiceSuperPIRdb', 'RAPDB', '国家水稻数据中心', 'EnsemblPlants']","C, A, B, D",key_multiple_choice,"基因名称： OsSIZ2
数据库： 国家水稻数据中心（China Rice Data Center）
可能影响的植物性状： 非生物胁迫抗性(TO:0000168), 株高(TO:0000207), 花粉败育(TO:0000053), 根长度(TO:0000227), 穗长(TO:0000040), 结实率(TO:0000448), 磷含量(TO:0001024), 地上部生物量(TO:0000327), 磷酸盐含量(TO:0020102), 千粒重(TO:0000592), 一次枝梗数(TO:0000547), 根重量(TO:0000279), 生长迟缓(TO:0001357)。
数据库： RiceSuperPIRdb
T2T基因编号： 未给出
预测功能： GO:0000003_obsolete reproduction(biological process), GO:0000902_cell morphogenesis(biological process), GO:0001101_response to acid chemical(biological process), GO:0002682_regulation of immune system process(biological process), GO:0002683_negative regulation of immune system process(biological process)，KEGG分析发现OsSIZ2基因的功能涉及K16063_E3 SUMO-protein ligase PIAS2 [EC:2.3.2.-], K22403_zinc finger MIZ domain-containing protein。
数据库： RAPDB
功能： SUMO (small ubiquitin-related modifier) E3-ligase; Abiotic stress response; Stress adaptation (Os03t0719100-01)。
数据库： EnsemblPlants
功能： GO:0005634_nucleus(cellular component), GO:0016740_transferase activity(molecular function), GO:0046872_metal ion binding(molecular function), GO:0008270_zinc ion binding(molecular function), GO:0016925_protein sumoylation(biological process), GO:0019789_SUMO transferase activity(molecular function), GO:0061665_SUMO ligase activity(molecular function)。",bad
Gene Function Prediction,OsSIZ2基因在RAPDB数据库中的功能描述是什么？,"['metal ion binding', 'SUMO (small ubiquitin-related modifier) E3-ligase', 'Abiotic stress response', 'Stress adaptation']","B, C, D",key_multiple_choice,"基因名称： OsSIZ2
数据库： 国家水稻数据中心（China Rice Data Center）
可能影响的植物性状： 非生物胁迫抗性(TO:0000168), 株高(TO:0000207), 花粉败育(TO:0000053), 根长度(TO:0000227), 穗长(TO:0000040), 结实率(TO:0000448), 磷含量(TO:0001024), 地上部生物量(TO:0000327), 磷酸盐含量(TO:0020102), 千粒重(TO:0000592), 一次枝梗数(TO:0000547), 根重量(TO:0000279), 生长迟缓(TO:0001357)。
数据库： RiceSuperPIRdb
T2T基因编号： 未给出
预测功能： GO:0000003_obsolete reproduction(biological process), GO:0000902_cell morphogenesis(biological process), GO:0001101_response to acid chemical(biological process), GO:0002682_regulation of immune system process(biological process), GO:0002683_negative regulation of immune system process(biological process)，KEGG分析发现OsSIZ2基因的功能涉及K16063_E3 SUMO-protein ligase PIAS2 [EC:2.3.2.-], K22403_zinc finger MIZ domain-containing protein。
数据库： RAPDB
功能： SUMO (small ubiquitin-related modifier) E3-ligase; Abiotic stress response; Stress adaptation (Os03t0719100-01)。
数据库： EnsemblPlants
功能： GO:0005634_nucleus(cellular component), GO:0016740_transferase activity(molecular function), GO:0046872_metal ion binding(molecular function), GO:0008270_zinc ion binding(molecular function), GO:0016925_protein sumoylation(biological process), GO:0019789_SUMO transferase activity(molecular function), GO:0061665_SUMO ligase activity(molecular function)。",bad
Gene Function Prediction,OsHCAR基因在哪些数据库中有记录？,"['GenBank', 'RiceSuperPIRdb', 'EnsemblPlants', 'RAPDB']","B, D, C",key_multiple_choice,"基因名称：OsHCAR
数据库：RiceSuperPIRdb，RAPDB，EnsemblPlants
T2T基因编号：在RiceSuperPIRdb数据库中检索
GO分析预测功能（前5条）：
- GO:0003674_molecular_function(molecular function)
- GO:0003824_catalytic activity(molecular function)
- GO:0005575_cellular_component(cellular component)
- GO:0005622_intracellular anatomical structure(cellular component)
- GO:0005623_obsolete cell(cellular component)
在RAPDB数据库中的功能：
- Coenzyme F420 hydrogenase/dehydrogenase beta subunit
- N-terminal domain containing protein. (Os04t0320100-01)
- 7-hydroxymethyl chlorophyll a reductase
- Promotion of chlorophyll degradation
- Modulation of cell death signaling (Os04t0320100-02)
在EnsemblPlants数据库中的功能：
- GO:0016491_oxidoreductase activity(molecular function)
- GO:0046872_metal ion binding(molecular function)
- GO:0009507_chloroplast(cellular component)
- GO:0009536_plastid(cellular component)
- GO:0003824_catalytic activity(molecular function)
- GO:0051536_iron-sulfur cluster binding(molecular function)
- GO:0015994_chlorophyll metabolic process(biological process)
- GO:0090415_7-hydroxymethyl chlorophyll a reductase activity(molecular function)
- GO:0033354_chlorophyll cycle(biological process)
- GO:0052592_oxidoreductase activity, acting on CH or CH2 groups, with an iron-sulfur protein as acceptor(molecular function)",bad
Gene Basic Information Query,以下哪些数据库中都有OsRING315基因的记录？,"['水稻注释计划数据库(The Rice Annotation Project Database，RAP-DB)', '人类基因组数据库(Human Genome Database)', '水稻基因组注释项目数据库（Rice Genome Annotation Project，RGAP）', '稻属超级泛基因组数据库(Rice Super Pan-genome Information Resource Database, RiceSuperPIRdb)']","A, C, D",key_multiple_choice,"基因名称： 水稻OsRING315基因
基因类型： RING-type E3 ubiquitin ligase 315
表达水平关联性： OsRING315基因的表达水平与amylose content (AC)和gel consistency (GC) 均相关。
基因位置： OsRING315基因位于水稻9号染色体的正链上。
基因序列信息： 基因起始位点至终止位点为19049516 - 19054746，序列全长5231 bp。
编码蛋白质： 编码的E3 ubiquitin ligase被预测的蛋白质域有DUF3675 (Protein of unknown function), RINGv (RING-variant domain)。
基因编号： 
- 水稻注释计划数据库(The Rice Annotation Project Database，RAP-DB)：Os09g0413000
- 水稻基因组注释项目数据库（Rice Genome Annotation Project，RGAP）：LOC_Os09g24650
- 稻属超级泛基因组数据库(Rice Super Pan-genome Information Resource Database, RiceSuperPIRdb)：AGIS_Os09g031220。",bad
Gene Basic Information Query,APX9基因是影响什么的致病基因？,[],APX9是影响产量相关性状的数量性状位点（QTL）集群的致病基因。,key_text_generation,"基因名称： APX9
基因特性： APX9是影响产量相关性状的数量性状位点（QTL）集群的致病基因。
基因位置： APX9基因位于水稻9号染色体的负链上，基因起始位点至终止位点为25641801- 25644833。
基因序列长度： 序列全长3033bp。
编码蛋白： 编码的L-ascorbate peroxidase 4被预测的蛋白质域有peroxidase。
数据库编号：
- 水稻注释计划数据库(The Rice Annotation Project Database，RAP-DB)编号：Os09g0538600；
- 水稻基因组注释项目数据库（Rice Genome Annotation Project，RGAP）编号：LOC_Os09g36750；
- 稻属超级泛基因组数据库(Rice Super Pan-genome Information Resource Database, RiceSuperPIRdb)编号：AGIS_Os09g041120。",bad
Gene Basic Information Query,OsGPT1基因在以下哪些数据库中有记录？,"['稻属超级泛基因组数据库(RiceSuperPIRdb)', '人类基因组数据库（HGDB）', '水稻注释计划数据库（RAP-DB）', '水稻基因组注释项目数据库（RGAP）']","C, D, A",key_multiple_choice,"基因名称： OsGPT1
全名： glucose 6-phosphate/phosphate translocator 1基因
物种： 水稻日本晴（Oryza sativa ssp. japonica cv. Nipponbare）
基因位置： 位于8号染色体的正链上，基因起始位点至终止位点为5189856 - 5193928
基因长度： 序列全长4073 bp
编码蛋白： 编码一个TPT蛋白
数据库编号： 
- 水稻注释计划数据库(The Rice Annotation Project Database，RAP-DB)：Os08g0187800
- 水稻基因组注释项目数据库（Rice Genome Annotation Project，RGAP）：LOC_Os08g08840
- 稻属超级泛基因组数据库(Rice Super Pan-genome Information Resource Database, RiceSuperPIRdb)：AGIS_Os08g007580",bad
Gene Basic Information Query,以下哪些数据库中有OsMTD2基因的标识？,"['Human Genome Database (HGD)', 'Rice Genome Annotation Project (RGAP)', 'Rice Super Pan-genome Information Resource Database (RiceSuperPIRdb)', 'Rice Annotation Project Database (RAP-DB)']","D, B, C",key_multiple_choice,"名称： OsMTD2，全称为male-gene transfer defective 2。
位置： OsMTD2基因位于第5号染色体的负链上，从位置11831370到11834542，总序列长度为3713bp。
功能： 编码受体样激酶。
同源基因： OsMTD2和OsCrRLK1L11（Catharanthus roseus receptor-like kinase 1-like 11）被认为是同一基因。
数据库标识：
- Rice Annotation Project Database (RAP-DB)：Os05g0280700
- Rice Genome Annotation Project (RGAP)：LOC_Os05g20150
- Rice Super Pan-genome Information Resource Database (RiceSuperPIRdb)：AGIS_Os05g017590。",bad
Variety Cultivation and Technical Key Points Query,水稻土在排水后或受稻根的影响后，氧化亚铁会被氧化成什么？,"['氧化钙', '氧化铁', '氧化铝', '氧化硅']",B,key_single_choice,"土壤名称： 水稻土
适宜种植： 水稻
形成条件： 在长期淹水种稻的条件下，受到人为活动和自然成土因素的双重作用，产生水耕熟化和氧化与还原交替，以及物质的淋溶、淀积，形成特有剖面特征。
特性： 
- 长期处于水淹的缺氧状态。
- 土壤中的氧化铁被还原成易溶于水的氧化亚铁，并随水在土壤中移动。
- 当土壤排水后或受稻根的影响，氧化亚铁又被氧化成氧化铁沉淀，形成锈斑、锈线。
- 土壤下层较为粘重。",bad
Variety Agronomic Trait Query,稻是哪一类植物？,"['花卉植物', '灌木植物', '可食用植物', '草本植物']",C,key_single_choice,"名称： 稻（Oryza sativa L.），又称水稻
分类： 可食用植物
原产地： 是水稻的原产地之一
种植地区： 南方地区农田多以水田为主，粮食作物以种植水稻为主。稻是亚洲热带广泛种植的重要谷物，南方为主要产稻区，北方各省也有栽种。
亚种： 稻种下主要分为2亚种，籼稻与粳稻。亚种下包括栽培品种极多。
药用价值： 以成熟颖果入药。味甘，温。和中消食，健脾开胃。",bad
